Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
4/11/2017,BRITANNIA,EQ,3416.85,3419.7,3453.75,3382.2,3400,3402.8,3422.14,93869,3.21233E+13,7900,55900,0.5955
4/12/2017,BRITANNIA,EQ,3402.8,3380,3460.1,3377.8,3446,3449,3439.27,167440,5.75872E+13,18866,85922,0.5132
4/13/2017,BRITANNIA,EQ,3449,3450,3452.6,3391,3393.05,3403.8,3416.06,60999,2.08376E+13,6515,38909,0.6379
4/17/2017,BRITANNIA,EQ,3403.8,3403.45,3405.8,3372.55,3399,3385.3,3387.54,45551,1.54306E+13,6732,22981,0.5045
4/18/2017,BRITANNIA,EQ,3385.3,3370.65,3416.05,3353.8,3364,3368.5,3371.32,113302,3.81978E+13,13058,80204,0.7079
4/19/2017,BRITANNIA,EQ,3368.5,3365.05,3447.45,3339.2,3434,3431.25,3409.86,92994,3.17097E+13,8837,53933,0.58
4/20/2017,BRITANNIA,EQ,3431.25,3436.9,3440,3368.2,3376,3379.35,3394.08,67261,2.28289E+13,5194,41336,0.6146
4/21/2017,BRITANNIA,EQ,3379.35,3382.1,3407.65,3368,3370,3376.55,3389.22,83775,2.83931E+13,13185,43562,0.52
4/24/2017,BRITANNIA,EQ,3376.55,3360,3395.8,3360,3392,3388.15,3385.75,40315,1.36497E+13,4585,27634,0.6855
4/25/2017,BRITANNIA,EQ,3388.15,3398,3489,3387.35,3489,3477.45,3437.13,137458,4.72461E+13,17467,86348,0.6282
4/26/2017,BRITANNIA,EQ,3477.45,3490,3598,3460,3565,3553.4,3542.69,312937,1.10864E+14,28567,153821,0.4915
4/27/2017,BRITANNIA,EQ,3553.4,3550,3609,3446.8,3540,3555.05,3558.52,176133,6.26772E+13,16148,92484,0.5251
4/28/2017,BRITANNIA,EQ,3555.05,3555.05,3639,3548.25,3635,3624.55,3598.83,164858,5.93296E+13,23374,96515,0.5854
5/2/2017,BRITANNIA,EQ,3624.55,3610,3644.4,3555.65,3577.2,3573.95,3589.96,93731,3.36491E+13,9520,56935,0.6074
5/3/2017,BRITANNIA,EQ,3573.95,3580.15,3630,3513.3,3564.3,3580.5,3553.14,107101,3.80545E+13,11559,43248,0.4038
5/4/2017,BRITANNIA,EQ,3580.5,3574.95,3620,3565.35,3583.25,3592.1,3602.03,119681,4.31094E+13,14918,58563,0.4893
5/5/2017,BRITANNIA,EQ,3592.1,3592.1,3599.6,3516.45,3524,3529.35,3548.56,48124,1.70771E+13,7175,19130,0.3975
5/8/2017,BRITANNIA,EQ,3529.35,3541.95,3563.95,3514.05,3534.95,3542.95,3546.76,36456,1.29301E+13,4454,20766,0.5696
5/9/2017,BRITANNIA,EQ,3542.95,3534,3603.95,3519.05,3600,3592.95,3566.25,94431,3.36765E+13,6223,59679,0.632
5/10/2017,BRITANNIA,EQ,3592.95,3587,3721.8,3587,3702.15,3711.3,3675.47,334682,1.23011E+14,23553,186690,0.5578
5/11/2017,BRITANNIA,EQ,3711.3,3690,3744,3685.2,3695.1,3708.35,3719.37,163452,6.07938E+13,13689,93315,0.5709
